carga_id,temperatura_carga,velocidade_media_kmh,distancia_destino_km,atraso_horas,status_rota,sinal_satelite,tipo_carga,risco
124,2,43,1553,2,Normal,Forte,Eletronico,Baixo
125,30,63,36,2,Parado,Forte,Eletronico,Alto
126,15,60,546,12,Parado,Medio,Alimento,Alto
127,14,46,1448,7,Parado,Medio,Alimento,Alto
128,17,101,1079,0,Normal,Forte,Alimento,Baixo
129,28,97,1417,9,Normal,Medio,Eletronico,Alto
130,28,61,1549,8,Normal,Fraco,Medicamento,Alto
131,32,21,1665,0,Normal,Fraco,Medicamento,Alto
132,19,115,16,12,Desvio,Forte,Eletronico,Alto
133,1,47,1492,8,Normal,Fraco,Medicamento,Alto
134,15,109,262,5,Desvio,Medio,Alimento,Medio
135,11,34,1787,8,Normal,Fraco,Eletronico,Alto
136,1,100,423,11,Desvio,Forte,Alimento,Alto
137,32,94,1328,10,Parado,Fraco,Eletronico,Alto
138,33,48,983,8,Desvio,Forte,Eletronico,Alto
139,1,59,1380,11,Desvio,Forte,Eletronico,Alto
140,33,90,526,7,Normal,Forte,Eletronico,Alto
141,19,93,1133,1,Desvio,Medio,Alimento,Medio
142,7,35,1356,7,Normal,Forte,Medicamento,Alto
143,38,61,374,10,Normal,Forte,Eletronico,Alto
144,8,30,1244,5,Parado,Medio,Alimento,Alto
145,15,44,782,11,Parado,Fraco,Eletronico,Alto
146,8,43,864,11,Normal,Medio,Eletronico,Alto
147,38,29,1189,11,Parado,Forte,Eletronico,Alto
148,31,95,1695,10,Desvio,Forte,Alimento,Alto
149,25,50,1957,5,Normal,Medio,Alimento,Medio
150,38,44,568,1,Parado,Fraco,Medicamento,Alto
151,9,105,294,11,Normal,Forte,Medicamento,Alto
152,7,50,974,2,Parado,Medio,Alimento,Alto
153,36,25,664,12,Desvio,Medio,Eletronico,Alto
154,20,49,1138,5,Parado,Medio,Eletronico,Alto
155,16,35,1692,8,Desvio,Medio,Medicamento,Alto
156,34,35,860,1,Parado,Fraco,Alimento,Alto
157,-2,40,1288,11,Desvio,Forte,Medicamento,Alto
158,9,40,1247,3,Parado,Forte,Eletronico,Alto
159,9,69,1484,7,Parado,Medio,Alimento,Alto
160,0,94,1442,4,Normal,Fraco,Alimento,Alto
161,27,83,37,11,Desvio,Forte,Medicamento,Alto
162,-1,112,1040,4,Normal,Fraco,Eletronico,Alto
163,11,38,1608,8,Normal,Fraco,Alimento,Alto
164,29,73,1122,1,Normal,Medio,Medicamento,Baixo
165,-5,68,81,2,Parado,Forte,Alimento,Alto
166,23,64,1583,8,Desvio,Fraco,Eletronico,Alto
167,14,79,1567,9,Parado,Fraco,Eletronico,Alto
168,5,110,389,6,Desvio,Fraco,Medicamento,Alto
169,25,40,606,0,Parado,Forte,Alimento,Alto
170,-5,55,1786,3,Parado,Fraco,Alimento,Alto
171,23,54,1937,9,Parado,Fraco,Eletronico,Alto
172,15,65,875,6,Normal,Fraco,Eletronico,Alto
173,18,47,714,2,Desvio,Medio,Medicamento,Medio
174,21,27,739,6,Parado,Forte,Alimento,Alto
175,22,80,83,5,Normal,Medio,Alimento,Medio
176,18,49,1625,10,Normal,Fraco,Medicamento,Alto
177,15,101,776,6,Normal,Medio,Alimento,Medio
178,24,65,13,6,Desvio,Medio,Medicamento,Medio
179,28,120,897,1,Parado,Fraco,Eletronico,Alto
180,33,68,1131,2,Desvio,Fraco,Eletronico,Alto
181,7,73,1588,8,Normal,Forte,Alimento,Alto
182,31,22,665,5,Normal,Medio,Eletronico,Medio
183,26,98,930,10,Normal,Forte,Medicamento,Alto
184,-4,66,1744,2,Parado,Medio,Medicamento,Alto
185,34,46,500,10,Desvio,Medio,Medicamento,Alto
186,22,58,1533,10,Parado,Fraco,Eletronico,Alto
187,2,29,1305,2,Normal,Medio,Alimento,Baixo
188,34,35,1989,3,Normal,Forte,Alimento,Medio
189,0,46,1520,5,Desvio,Medio,Medicamento,Medio
190,27,104,1001,5,Normal,Forte,Alimento,Medio
191,14,74,1407,4,Parado,Fraco,Alimento,Alto
192,7,96,28,3,Desvio,Fraco,Eletronico,Alto
193,15,78,276,12,Parado,Fraco,Alimento,Alto
194,20,100,239,7,Desvio,Fraco,Medicamento,Alto
195,4,41,552,1,Desvio,Fraco,Medicamento,Alto
196,36,94,205,7,Normal,Forte,Eletronico,Alto
197,30,118,1024,4,Normal,Forte,Alimento,Medio
198,16,64,1984,5,Desvio,Fraco,Medicamento,Alto
199,15,67,1212,7,Parado,Medio,Medicamento,Alto
200,14,22,445,9,Desvio,Medio,Eletronico,Alto
201,23,88,982,5,Desvio,Fraco,Alimento,Alto
202,33,115,289,10,Normal,Forte,Medicamento,Alto
203,25,69,1308,3,Desvio,Forte,Alimento,Medio
204,20,52,1393,9,Normal,Medio,Medicamento,Alto
205,5,70,332,11,Parado,Fraco,Alimento,Alto
206,29,114,1147,1,Normal,Fraco,Eletronico,Alto
207,10,69,1935,11,Normal,Forte,Eletronico,Alto
208,-3,49,1219,1,Parado,Medio,Eletronico,Alto
209,2,62,238,2,Parado,Forte,Medicamento,Alto
210,24,55,1962,10,Desvio,Medio,Alimento,Alto
211,17,98,449,11,Normal,Medio,Medicamento,Alto
212,16,78,1778,8,Desvio,Forte,Alimento,Alto
213,22,44,1796,8,Desvio,Fraco,Medicamento,Alto
214,32,99,602,2,Normal,Fraco,Eletronico,Alto
215,-5,91,1347,9,Normal,Fraco,Medicamento,Alto
216,2,37,1359,7,Normal,Forte,Eletronico,Alto
217,30,20,1092,6,Parado,Forte,Medicamento,Alto
218,33,67,1911,0,Parado,Medio,Medicamento,Alto
219,32,38,1029,1,Parado,Medio,Medicamento,Alto
220,31,105,728,8,Desvio,Medio,Medicamento,Alto
221,37,23,1050,11,Normal,Forte,Medicamento,Alto
222,1,51,141,10,Parado,Medio,Medicamento,Alto
223,9,109,269,12,Parado,Medio,Medicamento,Alto
224,30,51,1671,5,Normal,Fraco,Alimento,Alto
225,28,48,70,2,Desvio,Forte,Eletronico,Medio
226,37,33,361,8,Normal,Fraco,Medicamento,Alto
227,-1,20,1585,0,Normal,Medio,Medicamento,Baixo
228,15,102,1686,12,Desvio,Medio,Medicamento,Alto
229,34,42,685,0,Parado,Forte,Medicamento,Alto
230,9,20,777,4,Desvio,Medio,Eletronico,Medio
231,35,56,1326,0,Desvio,Forte,Eletronico,Medio
232,34,87,1157,1,Parado,Forte,Eletronico,Alto
233,18,21,613,5,Parado,Fraco,Alimento,Alto
234,21,93,1934,6,Normal,Forte,Eletronico,Medio
235,34,38,1987,4,Desvio,Fraco,Eletronico,Alto
236,16,76,1793,2,Parado,Medio,Medicamento,Alto
237,40,31,1185,12,Normal,Forte,Medicamento,Alto
238,24,68,21,2,Parado,Medio,Medicamento,Alto
239,6,112,1026,10,Parado,Fraco,Medicamento,Alto
240,10,39,1712,9,Normal,Forte,Alimento,Alto
241,12,108,1792,5,Normal,Fraco,Medicamento,Alto
242,26,42,1529,12,Normal,Medio,Medicamento,Alto
243,15,109,1240,9,Normal,Forte,Eletronico,Alto
244,0,108,1192,9,Normal,Forte,Alimento,Alto
245,34,33,1381,12,Normal,Medio,Alimento,Alto
246,5,112,1156,0,Desvio,Medio,Alimento,Medio
247,38,62,17,7,Desvio,Fraco,Eletronico,Alto
248,14,100,1389,0,Desvio,Fraco,Alimento,Alto
249,20,65,454,3,Desvio,Medio,Alimento,Medio
250,31,112,1490,9,Desvio,Medio,Eletronico,Alto
251,37,92,692,8,Normal,Medio,Alimento,Alto
252,2,77,322,2,Normal,Forte,Eletronico,Baixo
253,12,44,1922,2,Desvio,Forte,Alimento,Medio
254,12,22,1444,2,Desvio,Forte,Medicamento,Medio
255,15,36,1687,11,Desvio,Forte,Alimento,Alto
256,33,59,1776,5,Parado,Medio,Alimento,Alto
257,9,76,661,8,Desvio,Medio,Eletronico,Alto
258,7,77,1941,10,Parado,Forte,Alimento,Alto
259,25,86,15,3,Normal,Fraco,Alimento,Alto
260,30,75,435,3,Desvio,Fraco,Eletronico,Alto
261,-1,118,146,6,Desvio,Fraco,Medicamento,Alto
262,36,56,961,5,Normal,Medio,Eletronico,Medio
263,12,82,1257,2,Parado,Medio,Alimento,Alto
264,3,64,78,12,Desvio,Fraco,Medicamento,Alto
265,-3,115,1259,9,Normal,Forte,Eletronico,Alto
266,16,57,1076,7,Normal,Medio,Medicamento,Alto
267,27,94,1171,10,Normal,Fraco,Alimento,Alto
268,20,86,1884,6,Parado,Fraco,Alimento,Alto
269,-1,46,506,3,Desvio,Medio,Medicamento,Medio
270,1,43,459,11,Parado,Fraco,Medicamento,Alto
271,22,46,498,12,Normal,Forte,Eletronico,Alto
272,9,93,567,7,Normal,Forte,Medicamento,Alto
273,18,48,1954,4,Desvio,Forte,Medicamento,Medio
274,39,84,1968,7,Normal,Fraco,Alimento,Alto
275,15,60,1823,8,Parado,Medio,Alimento,Alto
276,40,27,58,2,Desvio,Forte,Medicamento,Medio
277,19,39,1570,10,Desvio,Forte,Eletronico,Alto
278,0,42,1057,0,Parado,Fraco,Medicamento,Alto
279,22,73,1661,11,Desvio,Fraco,Alimento,Alto
280,2,109,353,10,Normal,Forte,Eletronico,Alto
281,-2,29,701,0,Normal,Forte,Medicamento,Baixo
282,29,71,1261,4,Normal,Forte,Medicamento,Medio
283,21,96,1538,1,Normal,Forte,Eletronico,Baixo
284,31,62,1522,0,Desvio,Medio,Medicamento,Medio
285,-3,58,601,1,Normal,Medio,Medicamento,Baixo
286,-1,83,1504,10,Normal,Medio,Alimento,Alto
287,27,50,1718,8,Parado,Forte,Alimento,Alto
288,28,69,1421,3,Normal,Fraco,Eletronico,Alto
289,18,117,1136,11,Normal,Fraco,Alimento,Alto
290,28,69,350,10,Desvio,Fraco,Eletronico,Alto
291,4,82,293,6,Normal,Fraco,Medicamento,Alto
292,18,79,570,6,Normal,Medio,Alimento,Medio
293,19,119,761,7,Desvio,Fraco,Alimento,Alto
294,28,70,1555,4,Parado,Fraco,Alimento,Alto
295,9,60,939,1,Desvio,Fraco,Eletronico,Alto
296,4,36,1291,4,Desvio,Medio,Medicamento,Medio
297,1,94,30,6,Desvio,Forte,Medicamento,Medio
298,-2,66,1828,12,Desvio,Fraco,Alimento,Alto
299,10,33,322,5,Desvio,Fraco,Medicamento,Alto
300,25,65,987,11,Normal,Medio,Eletronico,Alto
301,-1,103,1672,3,Parado,Forte,Medicamento,Alto
302,18,36,36,4,Normal,Forte,Eletronico,Medio
303,20,115,770,8,Desvio,Medio,Medicamento,Alto
304,20,67,323,8,Desvio,Fraco,Alimento,Alto
305,18,116,1582,12,Normal,Medio,Alimento,Alto
306,25,71,1313,6,Desvio,Forte,Alimento,Medio
307,29,71,195,11,Parado,Forte,Medicamento,Alto
308,12,80,1382,2,Desvio,Forte,Eletronico,Medio
309,4,45,1502,5,Desvio,Forte,Medicamento,Medio
310,21,115,1700,7,Normal,Medio,Medicamento,Alto
311,3,79,1763,8,Parado,Forte,Alimento,Alto
312,-1,108,1767,2,Desvio,Fraco,Alimento,Alto
313,37,66,43,9,Parado,Fraco,Alimento,Alto
314,16,61,146,5,Parado,Fraco,Alimento,Alto
315,-4,81,768,6,Normal,Medio,Eletronico,Medio
316,26,106,1639,8,Normal,Forte,Eletronico,Alto
317,18,111,1912,0,Normal,Medio,Medicamento,Baixo
318,36,25,1012,2,Parado,Fraco,Alimento,Alto
319,3,89,1213,8,Normal,Forte,Alimento,Alto
320,11,29,1234,5,Parado,Medio,Alimento,Alto
321,-4,69,340,6,Parado,Fraco,Alimento,Alto
322,26,82,941,2,Parado,Forte,Medicamento,Alto
323,5,109,1340,4,Desvio,Fraco,Eletronico,Alto
324,10,78,1540,8,Normal,Fraco,Alimento,Alto
325,13,112,1318,7,Normal,Medio,Eletronico,Alto
326,32,110,459,4,Parado,Medio,Alimento,Alto
327,34,93,1715,3,Desvio,Fraco,Medicamento,Alto
328,32,92,1160,11,Parado,Fraco,Alimento,Alto
329,7,38,987,1,Desvio,Forte,Alimento,Medio
330,33,66,1192,9,Parado,Medio,Eletronico,Alto
331,40,91,267,3,Desvio,Fraco,Eletronico,Alto
332,14,96,986,0,Desvio,Medio,Medicamento,Medio
333,18,107,371,0,Parado,Fraco,Alimento,Alto
334,10,120,888,4,Normal,Forte,Eletronico,Medio
335,29,98,1039,8,Parado,Fraco,Medicamento,Alto
336,6,25,1273,8,Normal,Medio,Medicamento,Alto
337,18,34,1520,1,Desvio,Medio,Medicamento,Medio
338,19,115,340,4,Desvio,Fraco,Alimento,Alto
339,24,106,1660,10,Parado,Fraco,Alimento,Alto
340,29,101,1713,5,Desvio,Medio,Eletronico,Medio
341,20,71,1337,3,Parado,Medio,Medicamento,Alto
342,29,120,692,0,Parado,Medio,Eletronico,Alto
343,8,22,1550,12,Desvio,Fraco,Alimento,Alto
344,14,98,966,6,Desvio,Fraco,Medicamento,Alto
345,30,40,116,10,Desvio,Medio,Eletronico,Alto
346,25,65,1646,0,Desvio,Fraco,Medicamento,Alto
347,15,115,1634,10,Normal,Fraco,Eletronico,Alto
348,-4,111,105,11,Desvio,Medio,Eletronico,Alto
349,9,90,1285,8,Parado,Forte,Medicamento,Alto
350,22,88,13,4,Normal,Forte,Eletronico,Medio
351,27,79,499,1,Normal,Fraco,Alimento,Alto
352,29,27,1806,6,Desvio,Fraco,Eletronico,Alto
353,8,51,1250,2,Parado,Fraco,Medicamento,Alto
354,35,53,1560,4,Normal,Fraco,Alimento,Alto
355,3,56,371,1,Normal,Medio,Medicamento,Baixo
356,31,101,353,12,Normal,Forte,Alimento,Alto
357,28,34,1820,0,Parado,Fraco,Medicamento,Alto
358,19,104,1360,12,Desvio,Medio,Medicamento,Alto
359,5,54,406,1,Desvio,Fraco,Alimento,Alto
360,39,85,698,12,Desvio,Medio,Alimento,Alto
361,11,103,934,0,Desvio,Forte,Alimento,Medio
362,10,97,746,3,Normal,Forte,Eletronico,Medio
363,30,70,299,4,Desvio,Forte,Medicamento,Medio
364,0,20,310,12,Normal,Medio,Eletronico,Alto
365,5,33,409,10,Parado,Fraco,Medicamento,Alto
366,12,113,511,7,Desvio,Fraco,Eletronico,Alto
367,19,92,792,9,Parado,Medio,Eletronico,Alto
368,20,101,887,0,Desvio,Fraco,Alimento,Alto
369,37,103,1641,11,Parado,Forte,Alimento,Alto
370,23,92,1426,0,Desvio,Forte,Eletronico,Medio
371,39,83,1517,0,Normal,Medio,Alimento,Baixo
372,38,76,967,4,Parado,Fraco,Alimento,Alto
373,32,38,1314,0,Desvio,Medio,Medicamento,Medio
374,35,69,1162,2,Normal,Forte,Alimento,Baixo
375,35,28,1408,4,Desvio,Medio,Medicamento,Medio
376,22,24,273,3,Desvio,Medio,Alimento,Medio
377,2,26,1601,1,Desvio,Medio,Medicamento,Medio
378,1,115,1607,12,Parado,Forte,Alimento,Alto
379,18,40,1021,0,Normal,Fraco,Eletronico,Alto
380,2,32,1666,3,Desvio,Medio,Medicamento,Medio
381,37,119,619,2,Parado,Forte,Eletronico,Alto
382,17,25,1499,4,Desvio,Forte,Medicamento,Medio
383,19,115,264,5,Parado,Forte,Alimento,Alto
384,20,51,942,12,Desvio,Medio,Eletronico,Alto
385,38,96,77,4,Parado,Medio,Medicamento,Alto
386,21,27,866,12,Normal,Medio,Eletronico,Alto
387,3,40,1999,2,Normal,Fraco,Medicamento,Alto
388,-2,94,654,3,Normal,Fraco,Eletronico,Alto
389,37,24,1899,2,Normal,Medio,Medicamento,Baixo
390,27,120,384,4,Parado,Medio,Eletronico,Alto
391,-3,114,422,0,Desvio,Fraco,Medicamento,Alto
392,20,84,921,12,Parado,Forte,Eletronico,Alto
393,20,74,1450,2,Parado,Forte,Alimento,Alto
394,33,117,64,0,Parado,Forte,Alimento,Alto
395,24,66,1166,5,Desvio,Forte,Alimento,Medio
396,27,34,415,1,Parado,Medio,Eletronico,Alto
397,33,112,1338,2,Normal,Forte,Alimento,Baixo
398,35,88,1054,0,Desvio,Forte,Eletronico,Medio
399,-3,107,1608,0,Desvio,Medio,Medicamento,Medio
400,-2,111,1305,11,Normal,Fraco,Medicamento,Alto
401,30,81,1012,12,Parado,Medio,Eletronico,Alto
402,24,73,1627,8,Parado,Forte,Eletronico,Alto
403,39,60,1519,1,Normal,Forte,Alimento,Baixo
404,11,61,1769,6,Desvio,Medio,Eletronico,Medio
405,25,40,594,10,Normal,Forte,Medicamento,Alto
406,33,25,1320,5,Normal,Forte,Eletronico,Medio
407,1,68,1126,3,Parado,Medio,Medicamento,Alto
408,29,25,394,10,Normal,Fraco,Medicamento,Alto
409,12,70,981,9,Desvio,Medio,Alimento,Alto
410,40,87,505,3,Desvio,Forte,Eletronico,Medio
411,10,21,1773,0,Desvio,Forte,Eletronico,Medio
412,23,120,241,11,Desvio,Fraco,Eletronico,Alto
413,40,116,1128,0,Desvio,Forte,Eletronico,Medio
414,13,105,916,6,Normal,Medio,Medicamento,Medio
415,39,27,1227,11,Parado,Medio,Alimento,Alto
416,-1,44,534,8,Normal,Medio,Eletronico,Alto
417,39,55,254,3,Parado,Medio,Medicamento,Alto
418,-5,23,1546,11,Desvio,Forte,Medicamento,Alto
419,18,60,1690,7,Parado,Fraco,Alimento,Alto
420,37,45,1135,5,Normal,Forte,Alimento,Medio
421,6,56,1237,2,Desvio,Medio,Eletronico,Medio
422,6,81,1442,2,Parado,Fraco,Alimento,Alto
423,38,106,354,3,Normal,Medio,Eletronico,Medio
424,40,46,1588,5,Desvio,Forte,Eletronico,Medio
425,14,61,1768,2,Desvio,Fraco,Eletronico,Alto
426,-3,39,56,11,Parado,Medio,Medicamento,Alto
427,1,70,815,6,Normal,Forte,Alimento,Medio
428,30,34,1533,6,Desvio,Forte,Medicamento,Medio
429,29,20,1029,2,Parado,Medio,Medicamento,Alto
430,25,86,1988,4,Parado,Forte,Eletronico,Alto
431,-2,98,1519,2,Desvio,Fraco,Alimento,Alto
432,30,49,224,2,Normal,Fraco,Alimento,Alto
433,32,107,1704,8,Normal,Medio,Medicamento,Alto
434,29,50,1444,3,Desvio,Fraco,Alimento,Alto
435,31,71,116,6,Desvio,Medio,Eletronico,Medio
436,-4,101,1131,7,Desvio,Forte,Alimento,Alto
437,1,56,1324,4,Desvio,Forte,Medicamento,Medio
438,34,91,833,11,Desvio,Fraco,Eletronico,Alto
439,30,65,1694,4,Parado,Medio,Eletronico,Alto
440,-2,115,783,5,Desvio,Forte,Eletronico,Medio
441,5,66,698,0,Normal,Fraco,Alimento,Alto
442,6,63,619,2,Parado,Forte,Medicamento,Alto
443,6,94,1173,3,Desvio,Medio,Medicamento,Medio
444,20,39,58,2,Parado,Forte,Medicamento,Alto
445,25,105,44,12,Desvio,Medio,Eletronico,Alto
446,31,54,713,3,Normal,Forte,Alimento,Medio
447,14,65,1205,4,Desvio,Forte,Medicamento,Medio
448,28,37,489,10,Normal,Fraco,Medicamento,Alto
449,16,30,32,12,Parado,Medio,Alimento,Alto
450,-2,57,281,7,Normal,Medio,Medicamento,Alto
451,31,66,1301,1,Normal,Fraco,Alimento,Alto
452,5,28,62,1,Parado,Fraco,Alimento,Alto
453,15,36,506,12,Desvio,Medio,Medicamento,Alto
454,2,40,1901,11,Parado,Forte,Alimento,Alto
455,27,94,418,6,Parado,Forte,Alimento,Alto
456,6,104,750,10,Normal,Forte,Alimento,Alto
457,6,32,1046,11,Normal,Fraco,Eletronico,Alto
458,26,52,1202,0,Parado,Fraco,Eletronico,Alto
459,29,28,206,5,Parado,Fraco,Eletronico,Alto
460,11,63,705,1,Normal,Fraco,Eletronico,Alto
461,1,35,1367,1,Desvio,Medio,Alimento,Medio
462,1,94,1514,0,Desvio,Medio,Eletronico,Medio
463,-1,49,1919,6,Desvio,Forte,Medicamento,Medio
464,34,45,1774,2,Normal,Forte,Eletronico,Baixo
465,6,52,1088,8,Desvio,Fraco,Eletronico,Alto
466,-1,65,651,6,Normal,Forte,Medicamento,Medio
467,31,76,1711,12,Desvio,Forte,Medicamento,Alto
468,16,88,849,9,Parado,Forte,Eletronico,Alto
469,18,82,1830,7,Desvio,Forte,Eletronico,Alto
470,5,53,1180,8,Normal,Fraco,Medicamento,Alto
471,40,115,925,8,Parado,Medio,Alimento,Alto
472,1,71,1843,5,Normal,Fraco,Eletronico,Alto
473,17,71,685,0,Parado,Medio,Medicamento,Alto
474,30,49,698,4,Desvio,Medio,Alimento,Medio
475,26,40,192,9,Desvio,Forte,Eletronico,Alto
476,10,54,383,4,Normal,Fraco,Alimento,Alto
477,32,78,907,11,Parado,Fraco,Alimento,Alto
